dt,num_mentions
"2016-6-1","97"
"2014-3-1","50"
"2011-2-17","20"
"2017-10-6","102"
"2017-1-19","97"
"2014-10-18","49"
"2010-2-7","7"
"2013-10-25","50"
"2009-6-3","1"
"2012-11-10","19"
"2012-3-3","19"
"2019-4-20","66"
"2017-9-24","50"
"2018-1-23","127"
"2009-2-20","3"
"2013-8-23","67"
"2012-11-2","34"
"2016-4-10","54"
"2009-2-10","7"
"2010-2-17","7"
"2016-11-1","93"
"2018-10-11","136"
"2016-12-31","49"
"2009-11-27","7"
"2013-7-23","68"
"2015-10-16","78"
"2017-11-22","149"
"2009-6-10","9"
"2014-2-4","73"
"2009-9-20","5"
"2019-3-9","86"
"2011-2-12","15"
"2014-5-10","47"
"2014-12-15","66"
"2014-2-15","45"
"2011-3-18","23"
"2009-5-13","7"
"2013-7-6","36"
"2015-4-1","82"
"2017-11-1","101"
"2014-11-19","69"
"2018-3-2","97"
"2009-11-18","14"
"2017-3-27","123"
"2019-1-17","116"
"2017-4-16","65"
"2013-5-22","74"
"2011-12-30","11"
"2011-9-29","25"
"2013-12-23","53"
"2011-1-9","13"
"2011-9-17","8"
"2008-9-1","1"
"2017-7-1","63"
"2015-7-19","46"
"2012-8-20","53"
"2015-3-10","104"
"2017-7-14","123"
"2017-9-13","105"
"2011-7-16","11"
"2011-12-6","40"
"2016-2-9","98"
"2015-10-4","50"
"2018-10-21","93"
"2018-10-19","105"
"2009-2-4","4"
"2017-1-22","43"
"2014-5-20","66"
"2009-4-15","7"
"2019-5-15","132"
"2017-1-6","81"
"2011-5-3","27"
"2011-10-12","21"
"2017-12-29","77"
"2011-12-24","14"
"2014-6-29","27"
"2016-5-4","90"
"2012-11-16","44"
"2015-2-27","79"
"2011-5-13","27"
"2014-12-22","44"
"2015-12-2","88"
"2016-9-14","82"
"2013-9-26","68"
"2010-3-16","17"
"2018-12-10","132"
"2011-7-28","28"
"2016-8-13","45"
"2011-1-13","19"
"2010-2-16","11"
"2009-1-31","1"
"2010-8-17","23"
"2011-1-1","9"
"2017-3-7","110"
"2017-1-27","80"
"2013-8-6","64"
"2012-3-25","19"
"2016-7-10","43"
"2010-1-18","13"
"2016-9-20","71"
"2013-4-24","57"
"2011-1-15","16"
"2009-2-22","4"
"2010-6-5","8"
"2019-7-11","140"
"2019-8-20","166"
"2010-10-18","11"
"2009-8-10","8"
"2010-8-27","14"
"2010-9-7","19"
"2010-7-10","10"
"2008-10-6","1"
"2008-10-18","2"
"2013-5-10","59"
"2011-9-20","33"
"2017-2-10","105"
"2012-7-19","42"
"2019-3-25","130"
"2016-12-23","65"
"2017-12-21","99"
"2016-7-13","95"
"2016-10-13","98"
"2017-1-11","79"
"2014-2-22","63"
"2009-10-15","5"
"2015-6-3","78"
"2009-3-13","6"
